COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20140101,P,65,68,47,46,86,144,235,428,726,920,1369,1987,1493,1441,1161,968,965,1112,1301,1433,1774,1353,370,163,01/01/2014
000106,20140101,S,65,84,85,62,59,74,277,776,1116,1458,1515,1615,1425,1261,1178,1011,822,1079,659,429,388,260,234,173,01/01/2014
000106,20140102,P,115,80,87,89,167,373,733,1005,1221,1224,1483,1576,1399,1972,1880,2149,1918,1881,1162,768,513,351,209,165,01/02/2014
000106,20140102,S,135,98,72,69,119,148,437,1352,2058,1813,1896,1542,1184,1205,1160,1232,1096,883,655,596,477,389,300,240,01/02/2014
000106,20140103,P,76,58,76,74,126,215,465,689,951,1248,1535,1574,1642,1819,2214,2477,1574,2106,1823,1018,709,427,262,198,01/03/2014
000106,20140103,S,120,106,77,70,126,185,425,1473,1593,1359,1736,2236,1221,1321,1427,1628,1680,1654,1542,1562,1222,793,500,299,01/03/2014
000106,20140104,P,104,66,81,83,93,174,370,540,827,1028,1413,1499,1356,1401,1522,1430,1297,1150,860,700,512,303,148,106,01/04/2014
000106,20140104,S,181,111,88,59,74,131,405,971,1223,1169,1280,1439,991,851,772,978,875,717,531,465,375,235,229,148,01/04/2014
000106,20140105,P,61,55,70,66,112,189,370,599,986,1776,1896,1883,1735,1901,1848,1880,1191,1279,1434,1427,1089,478,236,120,01/05/2014
000106,20140105,S,99,81,66,48,56,55,408,1541,1700,1015,988,908,900,1080,1004,1094,796,661,531,370,299,234,193,137,01/05/2014
000106,20140106,P,74,53,49,64,118,277,594,776,898,1009,1155,1153,1160,1193,1328,1508,1543,1035,712,387,291,191,136,100,01/06/2014
000106,20140106,S,103,80,68,74,74,188,309,725,1288,1454,1228,987,782,779,777,789,747,608,491,440,346,245,213,144,01/06/2014
000106,20140107,P,59,41,41,49,71,177,253,446,567,695,752,819,852,990,1181,1469,1381,954,559,349,275,137,60,47,01/07/2014
000106,20140107,S,147,93,68,66,85,156,328,710,1141,1267,963,762,658,671,672,700,734,538,455,407,368,288,239,139,01/07/2014
000106,20140108,P,85,87,57,51,66,102,229,348,540,635,822,769,829,897,1135,1195,1314,856,518,415,210,157,132,75,01/08/2014
000106,20140108,S,95,61,44,43,76,155,286,779,908,1351,885,714,683,704,777,754,775,578,493,436,323,297,248,185,01/08/2014
000106,20140109,P,54,39,37,42,68,114,260,426,610,781,976,1056,1035,1126,1359,1392,1275,904,619,327,281,196,126,79,01/09/2014
000106,20140109,S,106,87,72,67,92,169,330,832,1244,1312,1002,839,796,828,872,924,936,711,686,651,549,395,411,249,01/09/2014
000106,20140110,P,83,17,62,55,64,118,226,420,524,710,6,917,1340,1071,1303,1305,1409,899,885,632,450,230,151,103,01/10/2014
000106,20140110,S,169,114,73,80,86,128,411,823,1140,1857,1067,954,940,834,977,1150,1426,1505,1608,1284,1187,1460,1307,460,01/10/2014
000106,20140111,P,94,66,43,48,72,113,289,444,661,790,1190,1264,1326,1578,1953,2041,2107,1678,1407,1186,745,439,272,152,01/11/2014
000106,20140111,S,169,107,65,63,82,218,702,1458,1884,2025,2070,2060,1708,1028,1064,992,945,763,622,512,393,281,230,165,01/11/2014
000106,20140112,P,84,52,60,55,72,144,317,584,1251,1852,1542,855,1360,1283,1322,1526,1504,1403,1337,1348,858,460,209,84,01/12/2014
000106,20140112,S,84,54,53,45,43,81,517,1254,936,827,641,763,582,596,580,504,477,358,374,633,453,285,186,124,01/12/2014
000106,20140113,P,49,43,37,62,109,321,606,130,1379,688,787,639,944,1096,1415,1368,1176,961,568,383,245,158,127,81,01/13/2014
000106,20140113,S,96,63,60,68,106,175,340,106,1494,1303,1245,792,820,736,656,637,595,439,394,331,275,229,162,106,01/13/2014
000106,20140114,P,45,46,33,38,61,111,215,367,426,478,556,867,815,974,1092,1020,1112,977,461,356,173,141,136,83,01/14/2014
000106,20140114,S,75,77,56,73,99,131,285,731,1158,1266,946,712,519,502,587,480,587,435,400,316,293,224,177,111,01/14/2014
000106,20140115,P,67,71,48,54,74,141,240,419,555,662,675,757,886,1094,1326,1572,1445,1042,608,414,275,204,149,101,01/15/2014
000106,20140115,S,74,84,69,49,108,182,394,951,1068,1671,1365,854,714,716,761,835,712,626,449,523,430,375,323,196,01/15/2014
000106,20140116,P,54,47,47,59,60,158,235,361,548,680,735,749,817,988,1255,1389,1399,966,546,436,292,228,152,88,01/16/2014
000106,20140116,S,113,107,79,80,97,200,397,863,1243,1241,1053,852,820,914,972,1029,1055,969,873,922,807,708,595,349,01/16/2014
000106,20140117,P,68,40,49,58,77,108,230,429,584,754,851,918,1078,1206,1570,1868,1885,1398,872,639,391,293,158,107,01/17/2014
000106,20140117,S,191,130,83,75,127,155,375,1317,1866,1748,1669,1261,1194,1460,1459,1740,2339,2121,2194,2177,2037,1778,917,428,01/17/2014
000106,20140118,P,53,45,48,51,51,108,227,418,684,979,1172,1230,1404,1493,1740,2130,1937,1656,1425,1154,727,406,238,123,01/18/2014
000106,20140118,S,263,144,86,77,85,211,1064,1811,1672,1633,1715,1674,2107,1316,1429,1398,1348,1070,863,698,528,377,255,183,01/18/2014
000106,20140119,P,88,51,55,65,60,100,223,633,1322,2171,2193,1721,1265,1200,1271,1412,1745,1483,1121,978,895,433,221,94,01/19/2014
000106,20140119,S,99,77,52,46,59,79,486,1451,1243,1216,1094,972,895,731,722,612,695,1107,934,624,406,347,225,135,01/19/2014
000106,20140120,P,64,53,43,88,129,315,715,981,1326,1789,2369,2267,2112,1910,2043,2000,1756,1342,1176,866,546,301,142,81,01/20/2014
000106,20140120,S,90,70,49,55,113,201,512,1425,1709,1467,1204,1047,931,921,896,922,758,638,474,395,323,278,184,113,01/20/2014
000106,20140121,P,69,40,39,64,95,213,474,630,750,771,863,859,808,968,1014,1189,1026,800,513,358,254,197,120,88,01/21/2014
000106,20140121,S,76,68,45,59,90,157,346,669,951,990,768,705,570,592,659,685,697,570,425,421,325,289,236,124,01/21/2014
000106,20140122,P,60,40,43,53,82,158,298,452,563,679,656,738,798,972,1047,1175,1066,766,537,371,289,208,136,79,01/22/2014
000106,20140122,S,100,63,51,53,85,187,335,761,997,1011,840,720,714,733,743,815,842,667,566,559,470,324,320,189,01/22/2014
000106,20140123,P,57,42,35,44,70,119,223,367,445,571,588,615,640,748,804,973,1043,817,566,381,269,218,129,75,01/23/2014
000106,20140123,S,97,70,64,75,78,131,214,467,656,778,905,866,849,882,989,971,1054,888,757,797,645,529,450,272,01/23/2014
000106,20140124,P,57,41,44,53,68,142,239,410,492,676,741,791,895,1117,1328,1619,1531,1105,793,539,391,275,186,99,01/24/2014
000106,20140124,S,130,147,81,74,83,167,431,982,1575,1538,1452,1269,1163,1352,1540,1501,2354,2308,2278,2310,2048,1108,678,383,01/24/2014
000106,20140125,P,64,57,33,52,63,102,247,489,753,894,1090,1102,1191,1482,1795,1976,2006,1610,1216,1162,841,524,280,161,01/25/2014
000106,20140125,S,191,124,98,81,86,214,1267,1688,1666,1619,1942,1937,1819,1356,1400,1366,1274,1033,789,617,469,318,259,148,01/25/2014
000106,20140126,P,106,58,50,63,59,119,301,619,1094,2118,2941,2689,2659,2166,1893,1536,1463,1155,1368,1885,1211,666,320,248,01/26/2014
000106,20140126,S,83,86,63,56,61,94,575,1440,1248,1043,1113,1185,1037,1089,1112,1013,981,897,653,484,347,248,163,121,01/26/2014
000106,20140127,P,144,75,60,77,112,280,637,796,834,982,1101,1106,1059,1039,987,841,879,691,511,295,209,123,100,80,01/27/2014
000106,20140127,S,70,68,51,59,75,148,294,530,701,772,703,645,559,588,564,377,550,306,344,294,286,210,131,132,01/27/2014
